"flavour_id","name","description"
461,"Orange Blossom Honey","A floral, sweet combination of honey and orange blossom"
462,"Caramel Pecan","A sweet, nutty caramel flavor with roasted pecans"
463,"Strawberry Kiwi","A tangy-sweet combination of strawberries and kiwis"
464,"Coconut Mango","A tropical flavor combination of coconut and mango"
465,"Ginger Lemonade","A refreshing lemonade flavor with a spicy ginger kick"
466,"Lemon Meringue Pie","A tangy lemon pie flavor with a fluffy meringue topping"
467,"Coconut Chocolate Chip","A sweet coconut flavor with chocolate chips"
468,"Apple Maple","A warm apple flavor with sweet maple syrup"
469,"Cinnamon Hazelnut","A warm, spiced flavor of cinnamon and hazelnuts"
470,"Tropical Coconut","A creamy, tropical coconut flavor"
471,"Orange Creme","A smooth, creamy orange flavor"
472,"Ginger Peach Tea","A spiced tea blend of ginger and peach"
473,"Berry Mint","A refreshing combination of berries and mint"
474,"Lemon Raspberry Swirl","A tangy lemon flavor with a swirl of raspberry"
475,"Peach Lemonade","A sweet, tangy lemonade flavor with peaches"
476,"Passionfruit Orange","A tropical flavor of passionfruit and orange"
477,"Apple Pie","A warm, spiced apple dessert flavor"
478,"Tart Lime Pie","A tangy, creamy lime pie flavor"
479,"Coconut Cream","A smooth, creamy coconut flavor"
480,"Chocolate Cherry Swirl","A rich chocolate flavor swirled with tart cherry"
481,"Maple Cinnamon Swirl","A sweet, spicy flavor combination of maple syrup and cinnamon"
482,"Peach Apricot Jam","A sweet and tangy jam flavor made from peaches and apricots"
483,"Coconut Pineapple","A tropical flavor combining coconut and pineapple"
484,"Lemon Pistachio","A zesty lemon flavor with a nutty pistachio base"
485,"Strawberry Kiwi Twist","A sweet and tart combination of strawberries and kiwi"
486,"Cherry Pomegranate","A sweet and tart combination of cherries and pomegranates"
487,"Mango Lime","A zesty, tropical combination of mango and lime"
488,"Almond Joyful","A nutty, chocolatey flavor with almonds and coconut"
489,"Chocolate Mint Swirl","A cool mint flavor with a rich chocolate swirl"
490,"Cinnamon Peach","A warm peach flavor with a hint of cinnamon"
491,"Tropical Medley","A refreshing mix of tropical fruits"
492,"Citrus Splash","A fresh, zesty combination of various citrus fruits"
493,"Apple Cranberry","A tart and sweet combination of apples and cranberries"
494,"Raspberry Peach Swirl","A sweet, fruity combination of raspberries and peaches"
495,"Banana Cinnamon","A sweet and spiced combination of bananas and cinnamon"
496,"Tropical Punch","A sweet, fruity mix of tropical fruit flavors"
497,"Caramel Fudge","A rich caramel flavor mixed with fudgy sweetness"
498,"Mango Coconut","A sweet tropical flavor blend of mango and coconut"
499,"Lime Sorbet","A tangy, refreshing lime-flavored sorbet"
500,"Strawberry Peach Pie","A sweet dessert flavor with strawberries and peaches"
